label,count,percentage,cumulative_percentage
Elevator Installation Services,16,0.07,98.48
Swimming Pool Maintenance Services,15,0.06,98.54
Seed Processing Services,15,0.06,98.6
Commercial Irrigation Systems,15,0.06,98.66
Plastic Signage Production,14,0.06,98.72
Soap Production Services,14,0.06,98.78
Alarm Installation Services,14,0.06,98.84
Directional Drilling Services,14,0.06,98.9
High-Rise Glass Installation,14,0.06,98.96
Sidewalk Construction Services,13,0.05,99.01
HVAC Installation and Service,13,0.05,99.06
Pet Boarding Services,12,0.05,99.11
Vacant Land Services,12,0.05,99.16
Spray Painting Services,12,0.05,99.21
Single Family Renovation Services,12,0.05,99.26
General Handyman Services,12,0.05,99.31
Residential Plumbing Services,11,0.04,99.35
Tile Installation Services,10,0.04,99.39
Windows and Doors Installation,9,0.04,99.43
Roofing Services with Heat Application,9,0.04,99.47
Fencing Construction Services,9,0.04,99.51
Low-Rise Glass Installation,8,0.03,99.54
Road and Highway Construction,8,0.03,99.57
Dock and Pier Construction,8,0.03,99.6
Animal Trainers,8,0.03,99.63
Swimming Pool Installation Services,8,0.03,99.66
Commercial Communication Equipment Installation,7,0.03,99.69
Data Analysis Services,7,0.03,99.72
Precast Concrete Installation,6,0.02,99.74
SEO Services,6,0.02,99.76
Rendering Services,6,0.02,99.78
Steam Services,6,0.02,99.8
Single Family Residential Construction,6,0.02,99.82
High-Rise Signage Installation,4,0.02,99.84
Tank Installation Services,4,0.02,99.86
Commercial Driveway Construction,4,0.02,99.88
Commercial Drain Cleaning,3,0.01,99.89
Low-Rise Signage Installation,3,0.01,99.9
Tilt-Up Concrete Services,3,0.01,99.91
Boiler Installation Services,3,0.01,99.92
Structural Steel Erection,3,0.01,99.93
General Snow Removal Services,2,0.01,99.94
Website Development Services,2,0.01,99.95
HVAC Inspections,2,0.01,99.96
Residential Communication Equipment Installation,2,0.01,99.97
Tree Services - Pruning / Removal,1,0.0,99.97
Conveyor System Installation,1,0.0,99.97
New Ground Excavation,1,0.0,99.97
High-Rise Foundation Construction,1,0.0,99.97
New Ground Pipeline Installation,1,0.0,99.97
Electric Line Construction,1,0.0,99.97
